"key","source","context","af","ar","bn","zh-CN","zh-TW","cs","nl","en","et","fr","de","el","he","hi","hu","id","it","ja","ko","no","fa","pl","pt-PT","ru","es-ES","sv-SE","tr","uk","vi"
"TR_NUMBER_OF_DEVICES","Number of devices","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_TERMS","Terms","As in Terms and Conditions, In the bottom footer","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_EXCHANGE_RATES_BY","Exchange rates by {service}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_WE_THANK_OUR_TRANSLATORS","We thank our translators for their {TR_CONTRIBUTION}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_CONTRIBUTION","contribution","Part of the sentence: We thank our translators for their contribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_TREZOR_WALLET_IS_AN_EASY_DASH","Trezor Wallet is an easy-to-use interface for your Trezor. Trezor Wallet allows you to easily control your funds, manage your balance and initiate transfers.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_THE_PRIVATE_BANK_IN_YOUR_HANDS","The private bank in your hands.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_CONNECT_TREZOR_TO_CONTINUE","Connect Trezor to continue","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_AND","and","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_DEVICE_NOT_RECOGNIZED_TRY_INSTALLING","Device not recognized? Try installing the {link}.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_DONT_HAVE_A_TREZOR_GET","Don't have a Trezor? {getOne}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_GET_ONE","Get one","Part of the sentence: Dont have a Trezor? Get one","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_UNPLUG_DEVICE_LABEL","Unplug ""{deviceLabel}"" device","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_MENU","Menu","Mobile sidebar toggler","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_MENU_CLOSE","Close","Used on button for closing sidebar menu","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_TREZOR","Trezor","Link in header navigation","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_WIKI","Wiki","Link in header navigation","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_BLOG","Blog","Link in header navigation","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_SUPPORT","Support","Link in header navigation","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_ATTENTION_COLON_THE_LOG_CONTAINS","Attention: The log contains your XPUBs. Anyone with your XPUBs can see your account history.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_LOG","Log","application event and error","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_COPY_TO_CLIPBOARD","Copy to clipboard","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_COPIED","Copied!","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_OTHER_COINS","Other coins","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_SELECT_COINS","Select a coin in {TR_SELECT_COINS_LINK}","COMPLETE SENTENCE: Select a coin in application settings","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_NAV_TRANSACTIONS","Transactions","Title of the navigation tab that contains tx history.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_NAV_SUMMARY","Summary","Title of the navigation tab that contains information about selected account (balance, tx history).","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_NAV_RECEIVE","Receive","Title of the navigation tab that contains the account address","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_NAV_SEND","Send","Title of the navigation tab that contains a form for sending funds","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_NAV_SIGN_AND_VERIFY","Sign & Verify","Title of the navigation tab that contains a form for signing and verifying messages","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_CONTINUE","Continue","Continue button","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_BACK","Back","Back button","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_SKIP_ALL","Skip onboarding","Button. Skip the entire onboarding process.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_SKIP","Skip","Button. Skip one step","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_CONTACT_SUPPORT","Contact support","Button to click to contact support","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_RETRY","Retry","Retry button","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_CONNECT_YOUR_DEVICE","Connect your device","Prompt to user to connect his device.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_SUBMIT","Submit","Button text","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_WIPE_DEVICE","Wipe device","Button","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_RESET_DEVICE","Reset device","Button.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_LEARN_MORE_LINK","Learn more.","Link to Trezor wiki.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_BACKUP_INSTRUCTION","Now your device is going to show you 24 words to backup your wallet. Write them down. Do not disconnect your device.","The last instruction before initiating backup process","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_BACKUP_OK","Okey.","Button text. Ok, Lets go, or something similar.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_WRITE_DOWN_NTH_WORD","Write down {NthWord} from your device to your recovery seed card.","Ordinal number of word that is currently displayed on Trezor device. For example: Check 1. word.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_CHECK_NTH_WORD","Check {NthWord}","Ordinal number of word that is currently displayed on Trezor device.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_NTH_WORD","{number}. word","Ordinal number. For example: 1. word","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_BACKUP_HEADING","Create or recover","Heading in start page","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_BACKUP_SUBHEADING_1","Your {TR_SEED_MANUAL_LINK} is the backup key to all your cryptocurrencies and applications.","Explanation what recovery seed is","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_SEED_MANUAL_LINK","recovery seed","Link. Part of TR_BACKUP_SUBHEADING_1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_BACKUP_SUBHEADING_2","Your recovery seed can only be displayed once. Never make a digital copy of your recovery seed and never upload it online. Keep your recovery seed in a safe place.","Explanation what recovery seed is","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_DO_NOT_UPLOAD_INSTRUCTION","Do not upload words on the internet","Instruction what user should never do with his seed.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_HIDE_TO_SAFE_PLACE_INSTRUCTION","Hide them somewhere safe","Instruction what user should do with his seed.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_DO_NOT_SAFE_IN_COMPUTER_INSTRUCTION","Do not write it into a computer","Instruction what user should never do with his seed.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_DO_NOT_TAKE_PHOTO_INSTRUCTION","Do not take a photo of your recovery seed","Instruction what user should never do with his seed.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_SEED_IS_MORE_IMPORTANT_THAN_YOUR_DEVICE","Seed is more important than your device","Instruction what user should never do with his seed.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_SATOSHILABS_CANNOT_BE_HELD_RESPONSIBLE","SatoshiLabs cannot be held responsible for security liabilities or financial losses resulting from not following security instructions described here.","Liability disclaimer.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_I_HAVE_READ_INSTRUCTIONS","I have read the instructions and agree","Checkbox text","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_START_BACKUP","Start backup","Button text","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_DEVICE_DISCONNECTED_DURING_ACTION","Device disconnected during action","Error message","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_DEVICE_DISCONNECTED_DURING_ACTION_DESCRIPTION","You device disconnected during action which resulted in interuption of backup process. For security reasons you need to wipe your device now and start the backup process again.","Error message. Instruction what to do.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_WIPE_DEVICE_AND_START_AGAIN","Wipe device and start again","Button text","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_BACKUP_FINISHED_TEXT","Backup is now on your recovery seed card. Once again dont lose it and keep it private!","Text that appears after backup is finished","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_BACKUP_FINISHED_BUTTON","My recovery card is safe","Exit button after backup is finished","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_BOOKMARK_HEADING","Browser bookmark","Heading in bookmark step","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_BOOKMARK_SUBHEADING","Protect yourself against {TR_PHISHING_ATTACKS}. Bookmark Trezor Wallet (wallet.trezor.io) to avoid visiting fake sites.","Heading in bookmark step","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_PHISHING_ATTACKS","phishing attacks","Term, type of hacker attack trying to fool user to enter his sensitive data into a fake site.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_USE_THE_KEYBOARD_SHORTCUT","Use the keyboard shortcut:","We want user to pres Ctrl + D","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_BRIDGE_HEADING","Trezor Bridge","Heading on bridge page","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_BRIDGE_SUBHEADING","Trezor Bridge is a communication tool to facilitate the connection between your Trezor and your internet browser.","Description what Trezor Bridge is","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_DOWNLOAD","Download","Download button","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_BRIDGE_IS_RUNNING","Trezor bridge is up and running","Text that indicates that browser can communicate with Trezor Bridge.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_DETECTING_BRIDGE","Detecting Trezor Bridge instalation","Message to show after user clicks download bridge.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_NOT_RUNNING","not running","Bridge status in box next to heading","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_WAIT_FOR_FILE_TO_DOWNLOAD","Wait for file to download","Instruction for installing Trezor Bridge","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_DOUBLE_CLICK_IT_TO_RUN_INSTALLER","Double click it to run installer","Instruction for installing Trezor Bridge","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_TREZOR_BRIDGE_IS_NOT_RUNNING","Trezor Bridge is not running","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_TREZOR_BRIDGE_IS_RUNNING_VERSION","Trezor Bridge is running. Version: {version}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_DEVICE_IN_BOOTLOADER_MODE","Device in bootloader mode","Indication that device is in bootloader mode","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_DEVICE_IN_BOOTLOADER_MODE_INSTRUCTIONS","Device is connected in bootloader mode. Plug out the USB cable and connect device again.","Instructions what to do if device is in bootloader mode","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_DEVICE_IS_INITIALIZED","Device is initialized","Indication that device is in already initialized","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_DEVICE_LABEL","Device label: {label}.","Display label of device","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_DEVICE_FIRMWARE_VERSION","Device firmware: {firmware}.","Display firmware of device","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_USER_HAS_WORKDED_WITH_THE_DEVICE","I have worked with it before","Option to click when troubleshooting initialized device.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_USER_HAS_NOT_WORKDED_WITH_THIS_DEVICE","It is a brand new device, just unpacked","Option to click when troubleshooting initialized device.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_INSTRUCTION_TO_SKIP","You should skip setup and continue to wallet and check if you have any funds on this device.","Instruction what to do when user knows the device he is holding was manipulated by him, not someone else.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_USER_HAS_NOT_WORKED_WITH_THIS_DEVICE_INSTRUCTIONS","In that case you should immediately contact Trezor support with detailed information on your purchase and refrain from using this device.","What to do if device is already initialized but not by user.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_SEARCHING_TAKES_TOO_LONG","Searching for your device takes too long, you might want to try to:","Message to display when device is not detected after a decent period of time.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_RECONNECT_INSTRUCTION","Reconnect your device and wait for a while","Troubleshooting instruction","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_REFRESH_INSTRUCTION","Refresh your internet browser window","Troubleshooting instruction","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_ANOTHER_CABLE_INSTRUCTION","Try using another cable","Troubleshooting instruction","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_LAST_RESORT_INSTRUCTION","If nothing helps, {ContactSupportLink}","Troubleshooting instruction. See TR_CONTACT_TREZOR_SUPPORT_LINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_CONTACT_TREZOR_SUPPORT_LINK","contact Trezor support.","Full sentences: If nothing helps, contact Trezor support. See TR_LAST_RESORT_INSTRUCTION","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_CONNECT_HEADING","Time to connect your device","Heading on connect page","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_MAKE_SURE_IT_IS_WELL_CONNECTED","Make sure your device is well connected to avoid communication failures.","Instruction for connecting device.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_SEARCHING_FOR_YOUR_DEVICE","Searching for your device","Indication that we app does not see connected device yet.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_DEVICE_DETECTED","Device detected","App can see connected device","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_FOUND_OK_DEVICE","Found an empty device, yay! You can continue now.","Case when device was connected and it is in expected state (not initialized)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_FINAL_HEADING","Good job! All done","Heading in newsletter step","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_FINAL_SUBHEADING","Now you are ready to enjoy bleeding edge security with Trezor.","Subheading in newsletter step","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_TREZOR_STABLE_WALLET","Trezor stable wallet","Name of application that might be used with Trezor","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_TREZOR_STABLE_WALLET_DESCRIPTION","Web wallet with support of Bitcoin, Dash, Zcash and other coins.","Description of application that might be used with Trezor.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_TREZOR_PASSWORD_MANAGER","Trezor Password Manager","Name of application that might be used with Trezor","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_TREZOR_PASSWORD_MANAGER_DESCRIPTION","A safe way how to manage your credentials with Trezor.","Description of application that might be used with Trezor","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_TREZOR_ETHEREUM_WALLET","Ethereum beta wallet","Name of application that might be used with Trezor","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_TREZOR_ETHEREUM_WALLET_DESCRIPTION","New wallet with support of Ethereum and Ripple","Description of application that might be used with Trezor","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_FIRMWARE_HEADING","Get the latest firmware","Heading on firmware page","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_FIRMWARE_SUBHEADING","Your Trezor is shipped without firmware installed to ensure that you can get started with the latest features right away. The authenticity of the installed firmware is always checked during device start. If the firmware is not correctly signed by SatoshiLabs, your Trezor will display a warning.","Main text on firmware page for devices without firmware.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_INSTALL","Install","Install button","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_INSTALLING","Do not disconnect your device. Installing","Message that is visible when installing process is in progress.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_INSTALL_ERROR_OCCURRED","Error occurred during firmware install: {error}","Error message when installing firmware to device","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_FETCH_ERROR_OCCURRED","Error occured during firmware download: {error}","Error message when downloading firmware","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_FIRMWARE_INSTALLED","Perfect. The newest firmware is installed. Time to continue","Message to display in case firmware is installed","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_CONNECT_YOUR_DEVICE_AGAIN","Connect your device again","Prompt to connect device.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_DISCONNECT_YOUR_DEVICE","Disconnect your device","Prompt to disconnect device.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_WAIT_FOR_REBOOT","Wait for your device to reboot","Info what is happening with users device.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_FIRMWARE_INSTALLED_TEXT","This device has already installed firmware version: {version}","Text to display in case device has firmware installed but it is outdated","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_HOLOGRAM_STEPHEADING","Hologram check","Heading on hologram step page","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_HOLOGRAM_STEP_SUBHEADING","Please make sure hologram protecting your device is authentic","Subheading on hologram step page","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_HOLOGRAM_STEP_ACTION_OK","My hologram is OK","Button to click in allright case","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_HOLOGRAM_STEP_ACTION_NOT_OK","My hologram looks different","Button to click when hologram looks different","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_RESELLERS_LINK","a trusted reseller","Part of sentence TR_DID_YOU_PURCHASE. Link to page with trusted resellers list","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_CONTACT_OUR_SUPPORT_LINK","contact our support","Part of sentence TR_DID_YOU_PURCHASE. Link to support","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_PACKAGING_LINK","here","Part of sentence TR_DID_YOU_PURCHASE. Link to support","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_DID_YOU_PURCHASE","Please note, that device packaging including holograms have changed over time. You can check packaging details {TR_PACKAGING_LINK}. Also be sure you made your purchase from {TR_RESELLERS_LINK}. Otherwise, the device you are holding in your hands might be a counterfeit. Please {TR_CONTACT_OUR_SUPPORT_LINK}","Text to display when user is unhappy with his hologram.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_NAME_HEADING","Name your device","Heading in name step","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_NAME_HEADING_CHANGED","Hi, {label}","Subheading in name step after user changes label, so lets welcome him!","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_NAME_SUBHEADING","Personalize your device with your own name.","Subheading in name step","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_NAME_CHANGED_TEXT","Excellent, your device has a custom name now. It will be visible on your device display from now on.","Text to display after user has changed label.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_NAME_ONLY_ASCII","Name can contain only basic letters","Validation message in label input","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_NAME_TOO_LONG","Name is too long","Validation message in label input","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_NAME_OK","Cool name","Validation message in label input","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_NAME_BORING","Nah.. too boring, chose a different label","User shouldnt use My Trezor (default name) as their new custom name","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_START_HEADING","Create new or restore your Trezor Wallet","Heading in start page","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_START_TEXT","Trezor Wallet is your account within Trezor ecosystem. It allows you to easily manage your funds and initiate transfers.","Heading in start page","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_RECOVERY_HEADING","Recover your device","Heading in start page, when recovery process is active","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_START_CREATING","Creating","Alternative heading text that is displayed when create new wallet call is in progress","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_START_FROM_SCRATCH","Start from scratch","Option in start page (create new wallet or recover)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_RECOVER","Recover","Option in start page (create new wallet or recover)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_NEWSLETTER_HEADING","Stay in touch","Heading in newsletter step","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_NEWSLETTER_SUBHEADING","Receive information on important security updates","Subheading in newsletter step","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_THANK_YOU_FOR_EMAIL","Thank you for providing your email. To complete subscription, please click on the link we sent to your email. You can also follow us on socials:","Displayed after user submits contact email","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_EMAIL_SKIPPED","You chose not to provide your email. This is Ok. If you want, you might still follow us on socials:","Displayed after user skips contact email","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_SENDING","Sending","Indicating progress status of email after submit.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_SENDING_ERROR","Failed to submit email","Indicating progress status of email after submit.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_WRONG_EMAIL_FORMAT","Wrong email format","Validation text displayed under email input","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_PIN_HEADING_FIRST","Set new PIN","Heading in PIN page when entering PIN for the first time","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_PIN_HEADING_REPEAT","Repeat PIN","Heading in PIN page when repeating PIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_PIN_HEADING_SUCCESS","PIN enabled","Heading in PIN page when PIN set","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR_PIN_HEADING_MISMATCH","PIN mismatch","Heading in PIN page when PIN repeated incorrectly","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
